model,window,segment,bank_id,forecast_origin,target_period,nco_rate,prediction,error,absolute_error,squared_error,squared_error_share,data_audit_status,data_audit_reason,mapping_id
ar,4,CI,940311,2024-11-14,2024-12-31,0.0010598834128245894,0.012513896150297809,-0.01145401273747322,0.01145401273747322,0.00013119440779019875,0.012113619858866333,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,962966,2025-05-15,2025-06-30,-0.0017228383762248303,0.009324239475474087,-0.011047077851698917,0.011047077851698917,0.00012203792906149676,0.011268171455740281,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CRE,3212149,2025-02-14,2025-03-31,0.050402330746788106,0.0,0.050402330746788106,0.050402330746788106,0.0025403949447086217,0.34513655029677026,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,413208,2025-05-15,2025-06-30,0.03059968264969268,0.00026165679988598387,0.0303380258498067,0.0303380258498067,0.0009203958124635394,0.12504442912820168,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,694904,2024-05-15,2024-06-30,0.0251431769488201,0.0019715846687586385,0.02317159228006146,0.02317159228006146,0.0005369226887934039,0.07294599801192593,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,413208,2024-11-14,2024-12-31,0.017454029498583205,0.00026200774553421463,0.01719202175304899,0.01719202175304899,0.00029556561195730966,0.04015536871925247,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,3212149,2025-05-15,2025-06-30,0.0003626380523547065,0.013606152389672707,-0.013243514337318001,0.013243514337318001,0.00017539067200274746,0.023828472661444257,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,722777,2023-11-14,2023-12-31,0.013277035214758719,0.0004546944479532811,0.012822340766805438,0.012822340766805438,0.0001644124227400807,0.022336974228609256,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,694904,2024-08-14,2024-09-30,0.016870250212846587,0.0071826869524312595,0.009687563260415328,0.009687563260415328,9.384888192454885e-05,0.01275025342973309,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,694904,2024-11-14,2024-12-31,0.014262306863798835,0.00494940328855176,0.009312903575247075,0.009312903575247075,8.673017300184975e-05,0.01178310985811454,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,63069,2023-11-14,2023-12-31,0.010130540624737505,0.0011463821170112345,0.00898415850772627,0.00898415850772627,8.071510409195031e-05,0.010965906163986515,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,3303298,2024-11-14,2024-12-31,0.010672687183611645,0.0021144334160745955,0.00855825376753705,0.00855825376753705,7.32437075495621e-05,0.00995084666156145,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,233031,2025-08-14,2025-09-30,0.008985200845665961,0.0004549810649495694,0.008530219780716391,0.008530219780716391,7.27646495073252e-05,0.009885762120106998,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CRE,3303298,2024-02-14,2024-03-31,0.010909390084051555,0.0025062596367202697,0.008403130447331285,0.008403130447331285,7.061260131486609e-05,0.009593386129214397,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
