source_url,download_timestamp,file_name,sha256,report_period,version,size_bytes
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:14.161614+00:00,FFIEC CDR Call Bulk All Schedules 09302021.zip,d62ecf20782b57f640a568e951a7cbc100e82f3ffc59674959b7570d4a5e49d6,2021-09-30,1,6258868
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:16.126441+00:00,FFIEC CDR Call Bulk All Schedules 12312021.zip,a9f50afafc5fbd724e0785dccc2fd0c6e4b167d6f692cfc141c42fa7956a6a88,2021-12-31,1,6997889
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:17.816446+00:00,FFIEC CDR Call Bulk All Schedules 03312022.zip,a7dd40120655f18ce419429ff50fd676e3829b20d00f4e56231a722fcb3ac23c,2022-03-31,1,6033014
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:19.679264+00:00,FFIEC CDR Call Bulk All Schedules 06302022.zip,27d84f87e00469f3be2ba9b0d38edd613f3732e98adfab42056a218525b58c1c,2022-06-30,1,6653642
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:21.386941+00:00,FFIEC CDR Call Bulk All Schedules 09302022.zip,7c298e0ee4e37a55935b5afc25e2b94c82778f9e0b47f14f75c811fccb08dc7a,2022-09-30,1,6090382
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:23.323476+00:00,FFIEC CDR Call Bulk All Schedules 12312022.zip,978cc284dc5ae6c13ca7805a2c9da5a714b7eb501e4c6a320aed5deb424268aa,2022-12-31,1,6902760
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:24.996305+00:00,FFIEC CDR Call Bulk All Schedules 03312023.zip,6d7d45b61665a2a4fdb7eb2f50ae14ace939806ff4568778c76bd542b5a6fed1,2023-03-31,1,5975897
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:26.853037+00:00,FFIEC CDR Call Bulk All Schedules 06302023.zip,a9dbfb56417c1036856bb663b1acf0ace27de5dae0b51fff44cffb9ccf7dfd00,2023-06-30,1,6584954
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:28.542265+00:00,FFIEC CDR Call Bulk All Schedules 09302023.zip,e26b31a559e46bf87dcb368829cba1116ec0c2d0e494f7d21dcd785c7ed75f4e,2023-09-30,1,6016856
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:30.464198+00:00,FFIEC CDR Call Bulk All Schedules 12312023.zip,4f05c73d021234f9ac951dc66676cdd6fdf0d627566fab951be3350fdffa64f8,2023-12-31,1,6823505
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:32.222811+00:00,FFIEC CDR Call Bulk All Schedules 03312024.zip,d42e44d041029be028111b3f0cdd0cd00afc15528a40a6ed43dafabf119d4e3d,2024-03-31,1,5772882
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:33.872929+00:00,FFIEC CDR Call Bulk All Schedules 06302024.zip,86fddf04ec80aaf8961ec72d471e805f2706c88fe407d4426f96124ac3464a86,2024-06-30,1,6365082
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:35.510644+00:00,FFIEC CDR Call Bulk All Schedules 09302024.zip,122d32ddc3f83abb04dad6044016ecd765fe9ad5815514f14b280df71bbe3755,2024-09-30,1,5840527
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:37.363489+00:00,FFIEC CDR Call Bulk All Schedules 12312024.zip,de61a9203ee92b20936685af975a62971cdedfba3a53f2e49320b41a517e28b6,2024-12-31,1,6605584
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:38.961484+00:00,FFIEC CDR Call Bulk All Schedules 03312025.zip,19d67728641f0f132d475e29c47d1ee1bb18a562fb515a61bd072d2e70eb9554,2025-03-31,1,5705154
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:40.708721+00:00,FFIEC CDR Call Bulk All Schedules 06302025.zip,0a6b0373201fb88a1f7841117a15c38c83923678242451a0e2668fa23fd04068,2025-06-30,1,6231368
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:42.305928+00:00,FFIEC CDR Call Bulk All Schedules 09302025.zip,645414d5a2afac536025f7f4674cbbad1c039e6b0fab02683f0aa90f998e1721,2025-09-30,1,5687748
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:00:43.873765+00:00,FFIEC CDR Call Bulk All Schedules 12312025.zip,e0d0059a041a6409677151e4389706b63a7ecbab85eb907138e51b93a0bf5b33,2025-12-31,1,6408275
