bank_id,report_date,total_loans,total_charge_off,total_recovery,tier1_capital,risk_weighted_assets,tier1_ratio,computed_tier1_ratio,equity_capital,equity_to_assets_ratio,total_assets,mapped_exposure,mapped_charge_off,mapped_recovery,mapped_nco,mapped_segment_count,exception_type,total_charge_off_reclass_flag,total_recovery_reclass_flag,mapped_charge_off_reclass_flag,mapped_recovery_reclass_flag,flow_reclass_flag,covered_share_of_total_loans,reported_total_nco,mapped_minus_reported_nco,charge_off_subset_difference,recovery_subset_difference,nco_reconciliation_tolerance_thousands,charge_off_ytd_reclass_causally_explains,recovery_ytd_reclass_causally_explains,nco_reconciliation_status,capital_ratio_difference_basis_points,capital_reconciliation_tolerance_basis_points,capital_reconciliation_status
276579,2014-03-31,12292133.0,10706.0,4287.0,1846833.0,13657710.0,0.1352,0.13522274231917356,1817087.0,0.09670955763483272,18789115.0,10384248.0,9322.0,2646.0,6676.0,3,,0,0,0,0,0,0.8447881258687976,6419.0,257.0,-1384.0,-1641.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.22742319173568726,1.0,PASS_WITHIN_TOLERANCE
276579,2014-06-30,12482858.0,7422.0,8261.0,1864439.0,13925816.0,0.1339,0.13388364459217328,1836159.0,0.10473611522439195,17531288.0,10515723.0,5308.0,6644.0,-1336.0,3,,0,0,0,0,0,0.8424130916173204,-839.0,-497.0,-2114.0,-1617.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.1635540782671252,1.0,PASS_WITHIN_TOLERANCE
276579,2014-09-30,12302804.0,7805.0,5578.0,1904739.0,13688798.0,0.1391,0.1391458183545407,1876624.0,0.10490103955008169,17889470.0,10345364.0,6186.0,3635.0,2551.0,3,,0,0,0,0,0,0.8408948073951271,2227.0,324.0,-1619.0,-1943.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.45818354540705375,1.0,PASS_WITHIN_TOLERANCE
276579,2014-12-31,12342520.0,10002.0,4837.0,1950350.0,13824934.0,0.1411,0.1410748145343768,1894615.0,0.09930464758948604,19078815.0,10356217.0,8712.0,3818.0,4894.0,3,,0,0,0,0,0,0.8390682777909212,5165.0,-271.0,-1290.0,-1019.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.25185465623189796,1.0,PASS_WITHIN_TOLERANCE
276579,2015-03-31,12260933.0,8777.0,3486.0,1880816.0,13855003.0,0.13570000000000002,0.13574995256226216,1914813.0,0.09977613571963492,19191092.0,10298793.0,7727.0,2633.0,5094.0,3,,0,0,0,0,0,0.83996813293083,5291.0,-197.0,-1050.0,-853.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.49952562262145506,1.0,PASS_WITHIN_TOLERANCE
276579,2015-06-30,12316695.0,3614.0,6039.0,1947959.0,13849630.0,0.1407,0.1406506166590732,1943964.0,0.10204297600622851,19050444.0,10299763.0,2390.0,4719.0,-2329.0,3,,0,0,0,0,0,0.8362440573546719,-2425.0,96.0,-1224.0,-1320.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.49383340926800745,1.0,PASS_WITHIN_TOLERANCE
276579,2015-09-30,12365664.0,7495.0,2460.0,1981641.0,14005776.0,0.14150000000000001,0.14148741205057114,1987928.0,0.10804656475571678,18398808.0,10313652.0,6375.0,1702.0,4673.0,3,,0,0,0,0,0,0.8340556560488785,5035.0,-362.0,-1120.0,-758.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.125879494288772,1.0,PASS_WITHIN_TOLERANCE
276579,2015-12-31,40797764.0,,,6334391.0,46615811.0,0.1359,0.13588503265555113,7317365.0,0.12318407457677051,59401875.0,35248879.0,,,,0,,0,0,0,0,0,0.8639904628106579,,,,,50.0,False,False,NOT_EVALUABLE_MISSING_FLOW,-0.1496734444886294,1.0,PASS_WITHIN_TOLERANCE
276579,2016-03-31,41525261.0,48110.0,11811.0,6438751.0,47570922.0,0.135351,0.1353505614206931,7466181.0,0.12813970053554607,58265947.0,35858724.0,43589.0,8554.0,35035.0,3,,0,0,0,0,0,0.8635400027949253,36299.0,-1264.0,-4521.0,-3257.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.004385793068995003,1.0,PASS_WITHIN_TOLERANCE
276579,2016-06-30,42646521.0,57629.0,19588.0,6514929.0,48879835.0,0.133285,0.13328459476182766,7577127.0,0.1274511093493687,59451244.0,36625511.0,54711.0,17872.0,36839.0,3,,0,0,0,0,0,0.8588159160743734,38041.0,-1202.0,-2918.0,-1716.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.004052381723240739,1.0,PASS_WITHIN_TOLERANCE
