window,segment,term,estimate,clustered_se,ci95_low,ci95_high,nobs,entities,matrix_rank,matrix_columns,condition_number,recursive_stable_if_lag
4,CRE,lagged_gdp_growth,8.293321635780211e-06,6.74358826946327e-05,-0.00012388100844569987,0.0001404676517172603,1268,33,9,9,1181.2976020944632,
4,CRE,lagged_bbb_spread,0.0013039984687620205,0.0005179287074186967,0.00028885820222137497,0.002319138735302666,1268,33,9,9,1181.2976020944632,
4,CRE,lagged_short_rate,0.0006206843978816715,0.00023980510156040077,0.00015066639882328607,0.001090702396940057,1268,33,9,9,1181.2976020944632,
4,CI,lagged_nco_rate,0.13666721506529855,0.08082039163300045,-0.021740752535382324,0.29507518266597943,1720,32,9,9,572.6318480703458,True
4,CI,lagged_noncurrent_ratio,0.1141317526531524,0.04611799665735176,0.023740479204742954,0.20452302610156184,1720,32,9,9,572.6318480703458,
4,CI,lagged_allowance_coverage,-2.1793489442127607e-05,2.655283494941609e-05,-7.383704594298315e-05,3.025006705872793e-05,1720,32,9,9,572.6318480703458,
4,CI,lagged_loan_growth,-0.002547827647775857,0.015566522887742261,-0.03305821250775069,0.027962557212198976,1720,32,9,9,572.6318480703458,
4,CI,lagged_tier1_ratio,-0.027797186497045455,0.02544845676957326,-0.07767616176540904,0.022081788771318132,1720,32,9,9,572.6318480703458,
4,CI,lagged_gdp_growth,0.00012340498950223457,8.561579483096955e-05,-4.440196836646575e-05,0.0002912119473709349,1720,32,9,9,572.6318480703458,
4,CI,lagged_bbb_spread,0.0038814184980071774,0.0007204910230635415,0.0024692560928026358,0.005293580903211719,1720,32,9,9,572.6318480703458,
4,CI,lagged_unemployment_rate,0.0002676071658145485,0.0001506514163327577,-2.7669610197656586e-05,0.0005628839418267537,1720,32,9,9,572.6318480703458,
4,CI,lagged_short_rate,0.0012519893330159356,0.00020962919432497383,0.0008411161121389869,0.0016628625538928842,1720,32,9,9,572.6318480703458,
