bank_id,event_date,event_type,source,notes
60143,2011-07-28,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2025-07-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2005-12-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2021-10-29,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2021-05-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2019-09-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2025-05-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2018-01-15,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2020-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2018-10-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2006-09-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2007-07-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
606046,2019-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
63069,2010-05-28,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
63069,2009-12-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
